epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
39,350.494,1.78638,0.81487,0.50157,1.72138,0.02894,7.42156,0.39394,0.53731,0.50859,0.14895,0.61529,0.83582,0.77601,0.73539,2.16463,0.52728,0.18767,1.94372,0.04011,0,0.0012476,0.0012476,0.0012476
40,358.895,1.791,0.89152,0.50815,1.68167,0.03054,7.97973,0.38551,0.80597,0.5885,0.19589,0.61429,0.78446,0.78751,0.72217,2.15598,0.83525,0.21424,1.86673,0.04071,0,0.0012278,0.0012278,0.0012278
41,367.265,1.79266,0.83762,0.50632,1.69653,0.031,7.85438,0.43251,0.61194,0.5446,0.19595,0.64519,0.85075,0.77303,0.69086,2.21682,0.58597,0.20772,1.65976,0.0422,0,0.001208,0.001208,0.001208
42,375.729,1.8691,0.87241,0.48312,1.78311,0.03257,8.01559,0.23305,0.62687,0.28618,0.08624,0.64236,0.65672,0.76511,0.72172,2.25974,0.56401,0.21026,1.98298,0.04119,0,0.0011882,0.0011882,0.0011882
43,384.156,1.81201,0.82316,0.48298,1.75216,0.03071,7.94737,0.42456,0.67164,0.50365,0.15346,0.64317,0.7802,0.79908,0.73519,2.19002,0.53757,0.18951,1.82147,0.04242,0,0.0011684,0.0011684,0.0011684
44,392.651,1.78596,0.95743,0.51756,1.69203,0.02991,7.98851,0.26965,0.65672,0.3094,0.09349,0.66395,0.68657,0.76422,0.71967,2.00725,0.50095,0.15417,1.99626,0.03766,0,0.0011486,0.0011486,0.0011486
45,401.086,1.80579,0.81692,0.49967,1.67691,0.03095,7.84967,0.29509,0.52239,0.32887,0.09816,0.65898,0.77612,0.82561,0.77164,1.94988,0.52121,0.20095,2.05391,0.0345,0,0.0011288,0.0011288,0.0011288
46,409.616,1.79213,0.82792,0.46525,1.64931,0.02939,7.31279,0.42739,0.76119,0.49961,0.19898,0.5678,0.82358,0.73571,0.68925,1.61873,0.54218,0.17994,1.76859,0.03093,0,0.001109,0.001109,0.001109
47,418.074,1.78386,0.76804,0.49044,1.64589,0.03074,7.44924,0.4233,0.79104,0.47763,0.17275,0.6374,0.79104,0.80903,0.77495,1.84699,0.65692,0.20485,1.95068,0.03401,0,0.0010892,0.0010892,0.0010892
48,426.667,1.68951,0.72287,0.48284,1.54305,0.0288,7.24612,0.35949,0.70149,0.47767,0.15986,0.65148,0.8209,0.78161,0.72895,2.33011,0.34309,0.167,2.08622,0.03932,0,0.0010694,0.0010694,0.0010694
49,435.035,1.81036,0.80499,0.45445,1.65727,0.03093,7.2131,0.44357,0.70149,0.54884,0.18193,0.79357,0.80332,0.87433,0.85763,2.35431,0.29238,0.18338,1.61646,0.03935,0,0.0010496,0.0010496,0.0010496
50,443.487,1.74384,0.88176,0.45695,1.65925,0.02952,7.53489,0.36803,0.59976,0.41827,0.13608,0.6673,0.83582,0.79615,0.76077,2.25975,0.27951,0.20795,1.69687,0.03728,0,0.0010298,0.0010298,0.0010298
51,451.882,1.65276,0.75749,0.4688,1.61894,0.0274,6.99319,0.40811,0.68952,0.46274,0.15731,0.77406,0.81817,0.84851,0.80133,2.32829,0.3098,0.17808,1.68826,0.04123,0,0.00101,0.00101,0.00101
52,460.279,1.74463,0.75408,0.48042,1.62123,0.02779,6.92765,0.51752,0.85075,0.55334,0.20894,0.62392,0.79239,0.8015,0.76215,1.60292,0.31987,0.13811,1.77985,0.02662,0,0.0009902,0.0009902,0.0009902
53,468.699,1.74824,0.74103,0.45253,1.58396,0.0297,7.06166,0.47763,0.77612,0.56174,0.19117,0.62149,0.78427,0.81593,0.78058,1.60398,0.30643,0.1627,1.93644,0.02785,0,0.0009704,0.0009704,0.0009704
54,477.159,1.77644,0.67307,0.43963,1.57346,0.02936,6.96431,0.43846,0.68657,0.52314,0.22531,0.65831,0.79104,0.81265,0.7789,2.12237,0.35706,0.13399,1.45333,0.03712,0,0.0009506,0.0009506,0.0009506
55,485.477,1.71543,0.63551,0.4325,1.53299,0.02837,6.85094,0.38443,0.79104,0.52546,0.20266,0.68146,0.73134,0.82583,0.78077,1.89833,0.50221,0.14553,1.8365,0.03489,0,0.0009308,0.0009308,0.0009308
56,493.891,1.68596,0.7214,0.43701,1.54408,0.02757,6.67837,0.33662,0.67164,0.46167,0.12182,0.6844,0.80597,0.82624,0.79974,2.10364,0.21495,0.11234,1.95252,0.03575,0,0.000911,0.000911,0.000911
57,502.379,1.72828,0.78915,0.43361,1.55313,0.02784,6.92233,0.40229,0.58209,0.49889,0.17994,0.66624,0.80597,0.81287,0.79654,2.22523,0.24073,0.11675,1.77889,0.03893,0,0.0008912,0.0008912,0.0008912
58,510.733,1.71846,0.6804,0.43312,1.5321,0.02879,6.83811,0.29414,0.65672,0.34139,0.09805,0.69633,0.76119,0.81189,0.78983,2.43469,0.24082,0.12466,2.00321,0.04096,0,0.0008714,0.0008714,0.0008714
59,519.197,1.77078,0.63292,0.42354,1.59376,0.03102,7.03589,0.38884,0.79104,0.48895,0.16714,0.65754,0.8806,0.86666,0.84103,1.93738,0.25763,0.13855,1.83064,0.031,0,0.0008516,0.0008516,0.0008516
60,527.59,1.64655,0.53859,0.43064,1.5177,0.02804,6.47915,0.53199,0.80597,0.66016,0.30855,0.60897,0.8209,0.80528,0.79232,1.48308,0.22755,0.13558,1.44879,0.02355,0,0.0008318,0.0008318,0.0008318
61,536.06,1.72617,0.58895,0.44912,1.56726,0.02952,6.64019,0.43028,0.8209,0.52245,0.20331,0.63436,0.85075,0.80023,0.787,1.45004,0.20525,0.13677,1.69489,0.02759,0,0.000812,0.000812,0.000812
62,544.473,1.67343,0.70559,0.44136,1.5497,0.02808,6.66925,0.35658,0.86567,0.53846,0.21346,0.68247,0.83408,0.79868,0.78168,1.41094,0.1821,0.14183,1.71562,0.0276,0,0.0007922,0.0007922,0.0007922
63,552.86,1.71823,0.58144,0.43018,1.52494,0.02797,6.37415,0.39494,0.83783,0.59759,0.25281,0.64798,0.89552,0.82403,0.81526,1.59733,0.14517,0.16059,1.46872,0.02365,0,0.0007724,0.0007724,0.0007724
64,561.31,1.69911,0.54553,0.41528,1.52202,0.02824,6.16486,0.3532,0.86567,0.49703,0.22213,0.68963,0.86229,0.81759,0.80553,1.60823,0.16582,0.15955,1.63157,0.02468,0,0.0007526,0.0007526,0.0007526
65,569.768,1.60023,0.51489,0.40757,1.56305,0.02626,6.0839,0.31954,0.84107,0.38872,0.15603,0.76825,0.8209,0.82373,0.80969,1.70069,0.169,0.1362,1.84191,0.02968,0,0.0007328,0.0007328,0.0007328
66,578.244,1.61425,0.49223,0.40435,1.49766,0.02634,5.97008,0.44909,0.59617,0.49593,0.20059,0.67217,0.77612,0.82998,0.82067,1.5898,0.19239,0.13146,1.64639,0.02727,0,0.000713,0.000713,0.000713
67,586.774,1.62977,0.52788,0.41775,1.51591,0.02762,5.99503,0.35981,0.82208,0.39753,0.15571,0.62165,0.79104,0.75813,0.74138,1.80531,0.17925,0.14028,1.80692,0.0312,0,0.0006932,0.0006932,0.0006932
68,595.164,1.63835,0.61333,0.41112,1.50957,0.02644,6.0554,0.43995,0.80597,0.60427,0.22725,0.73264,0.73134,0.84108,0.8273,1.66746,0.16673,0.12613,1.5217,0.02864,0,0.0006734,0.0006734,0.0006734
69,603.566,1.62557,0.58298,0.44077,1.50561,0.02721,6.37914,0.42997,0.71642,0.566,0.20215,0.67794,0.94258,0.86032,0.85009,1.68206,0.13115,0.11932,1.71238,0.02848,0,0.0006536,0.0006536,0.0006536
70,611.967,1.54723,0.5022,0.4187,1.51872,0.02612,5.91565,0.38188,0.80226,0.53593,0.20384,0.64945,0.8209,0.82948,0.81754,1.72536,0.17321,0.12135,1.76164,0.03154,0,0.0006338,0.0006338,0.0006338
71,620.423,1.62345,0.6526,0.40946,1.50314,0.02605,5.83439,0.37225,0.84082,0.49853,0.22078,0.66123,0.87403,0.81293,0.80507,1.79852,0.16607,0.12881,1.49359,0.0286,0,0.000614,0.000614,0.000614
72,628.909,1.63083,0.46692,0.41013,1.52405,0.02672,5.69723,0.34564,0.80597,0.47358,0.20809,0.68562,0.86567,0.83976,0.83047,1.42373,0.23353,0.14493,1.93695,0.02201,0,0.0005942,0.0005942,0.0005942
73,637.461,1.6109,0.51621,0.39737,1.50834,0.02662,5.85624,0.37107,0.80138,0.4587,0.15953,0.69013,0.79782,0.84365,0.83041,1.5276,0.3583,0.15509,2.07552,0.02714,0,0.0005744,0.0005744,0.0005744
74,645.964,1.61196,0.55737,0.40153,1.50007,0.02641,5.81478,0.36134,0.91045,0.54308,0.21611,0.68668,0.85048,0.84681,0.83942,1.64176,0.19015,0.13646,1.61378,0.02604,0,0.0005546,0.0005546,0.0005546
75,654.437,1.58416,0.52362,0.41443,1.45122,0.02519,5.77692,0.39159,0.86567,0.54564,0.21718,0.75608,0.78655,0.8651,0.85671,1.74788,0.17711,0.12856,1.44256,0.03285,0,0.0005348,0.0005348,0.0005348
76,662.924,1.54915,0.55821,0.41664,1.50381,0.02548,6.15538,0.40838,0.80597,0.55855,0.22009,0.62544,0.84739,0.77417,0.76362,1.59188,0.24096,0.13806,1.53729,0.02777,0,0.000515,0.000515,0.000515
77,671.398,1.5519,0.43172,0.41858,1.48911,0.02539,5.7346,0.40141,0.8806,0.60798,0.25282,0.62752,0.79104,0.81593,0.80911,1.5805,0.22503,0.14234,1.51894,0.02689,0,0.0004952,0.0004952,0.0004952
78,679.78,1.59232,0.53189,0.39581,1.52083,0.02737,5.97426,0.33825,0.8806,0.50637,0.20722,0.62084,0.89552,0.81586,0.8096,1.69998,0.14253,0.12217,1.60703,0.02841,0,0.0004754,0.0004754,0.0004754
79,688.162,1.5578,0.45086,0.39486,1.4593,0.02647,5.83514,0.37265,0.8806,0.54559,0.20483,0.69464,0.85075,0.82165,0.81422,1.66889,0.14421,0.11979,1.68017,0.02817,0,0.0004556,0.0004556,0.0004556
80,696.636,1.58152,0.41655,0.40875,1.48114,0.02532,5.47269,0.41431,0.87633,0.60463,0.26654,0.76139,0.80968,0.85638,0.84534,1.45121,0.1489,0.12681,1.43203,0.02276,0,0.0004358,0.0004358,0.0004358
81,705.052,1.59395,0.44343,0.40913,1.46955,0.02515,5.30814,0.42273,0.77601,0.61039,0.26908,0.73639,0.91729,0.85512,0.84452,1.50764,0.16362,0.13254,1.37364,0.02646,0,0.000416,0.000416,0.000416
82,713.502,1.63522,0.52228,0.3948,1.45619,0.02634,5.29083,0.46969,0.77612,0.66054,0.26878,0.71436,0.80597,0.86322,0.85552,1.55757,0.14517,0.13284,1.42081,0.02588,0,0.0003962,0.0003962,0.0003962
83,721.945,1.56482,0.48621,0.37901,1.43921,0.02583,5.55495,0.43184,0.90758,0.61267,0.21825,0.71516,0.82445,0.86984,0.86348,1.85576,0.13272,0.12821,1.48073,0.03104,0,0.0003764,0.0003764,0.0003764
84,730.453,1.60148,0.43745,0.38708,1.44517,0.02698,5.31069,0.40879,0.85075,0.59483,0.23679,0.752,0.85996,0.89804,0.89094,1.72043,0.18254,0.1377,1.56294,0.02824,0,0.0003566,0.0003566,0.0003566
85,738.913,1.57114,0.48712,0.38957,1.47464,0.02548,5.70092,0.42115,0.89552,0.58788,0.21672,0.84296,0.85075,0.9269,0.91666,1.6323,0.14471,0.12341,1.55738,0.02672,0,0.0003368,0.0003368,0.0003368
86,747.452,1.52699,0.43353,0.39112,1.40598,0.02469,5.17624,0.45966,0.8806,0.66533,0.26225,0.81502,0.85496,0.92346,0.9069,1.5766,0.13451,0.12878,1.42579,0.02475,0,0.000317,0.000317,0.000317
87,755.883,1.5783,0.46919,0.38993,1.49157,0.02594,5.29848,0.50331,0.87723,0.66009,0.23679,0.78246,0.83582,0.91111,0.89899,1.7075,0.13121,0.12518,1.48257,0.02832,0,0.0002972,0.0002972,0.0002972
88,764.347,1.53026,0.39212,0.39355,1.42542,0.02413,4.92687,0.49478,0.8806,0.68946,0.27555,0.78319,0.86266,0.92349,0.91108,1.55306,0.13639,0.12065,1.48108,0.02463,0,0.0002774,0.0002774,0.0002774
89,772.794,1.53874,0.39198,0.36786,1.39564,0.02477,5.10855,0.49705,0.89552,0.68028,0.28003,0.8825,0.83582,0.92892,0.92018,1.68026,0.1392,0.12282,1.50287,0.02719,0,0.0002576,0.0002576,0.0002576
90,781.399,1.54363,0.52418,0.38207,1.46433,0.02484,5.34983,0.44689,0.86826,0.63558,0.24287,0.82503,0.85075,0.93195,0.92038,1.84811,0.12821,0.11754,1.54749,0.03025,0,0.0002378,0.0002378,0.0002378
91,793.059,1.46202,0.12731,0.15541,1.26853,0.03181,5.54096,0.41438,0.8806,0.6044,0.22062,0.72711,0.87495,0.89175,0.88212,1.69287,0.15835,0.10554,1.78213,0.0292,0,0.000218,0.000218,0.000218
92,802.007,1.26659,0.11566,0.14441,1.14504,0.02734,5.59088,0.3714,0.82013,0.49681,0.16697,0.72985,0.83582,0.86186,0.84975,1.8055,0.21093,0.11251,1.84293,0.03409,0,0.0001982,0.0001982,0.0001982
93,810.27,1.27443,0.10668,0.14398,1.12231,0.0273,5.33977,0.33519,0.85075,0.44196,0.15412,0.7373,0.83781,0.86946,0.85604,1.83549,0.189,0.0949,1.8585,0.03582,0,0.0001784,0.0001784,0.0001784
94,818.722,1.32068,0.1156,0.13587,1.08531,0.02743,5.1978,0.37217,0.8209,0.51232,0.21042,0.72026,0.83582,0.86776,0.85339,1.41348,0.17038,0.09401,2.1141,0.02656,0,0.0001586,0.0001586,0.0001586
95,827.112,1.25932,0.09742,0.12449,1.09292,0.02626,5.02366,0.41775,0.79104,0.55453,0.24879,0.77237,0.81033,0.88676,0.87553,1.29391,0.17842,0.08781,1.9652,0.02336,0,0.0001388,0.0001388,0.0001388
96,835.551,1.24013,0.10155,0.11623,1.11938,0.02612,5.13993,0.41339,0.87302,0.54787,0.24355,0.74911,0.84677,0.87741,0.86686,1.62287,0.17456,0.07285,1.61202,0.02922,0,0.000119,0.000119,0.000119
97,843.882,1.22357,0.09763,0.1033,1.06575,0.02618,5.21874,0.43228,0.89783,0.55284,0.25403,0.75322,0.82001,0.88483,0.87112,1.56849,0.15317,0.06682,1.58494,0.02533,0,9.92e-05,9.92e-05,9.92e-05
98,852.192,1.28456,0.10821,0.10881,1.08042,0.02755,5.28715,0.39928,0.89552,0.54318,0.25109,0.73452,0.8209,0.89098,0.87975,1.54523,0.15604,0.06408,1.6019,0.02463,0,7.94e-05,7.94e-05,7.94e-05
99,860.547,1.22811,0.10116,0.10685,1.05147,0.02607,5.1832,0.39311,0.88948,0.49907,0.23196,0.7491,0.85075,0.88628,0.87619,1.58458,0.14966,0.06205,1.63027,0.02573,0,5.96e-05,5.96e-05,5.96e-05
100,868.969,1.22749,0.09618,0.10711,1.07253,0.02613,4.97633,0.38749,0.87815,0.49205,0.21709,0.74401,0.85075,0.88898,0.87853,1.63188,0.14243,0.06007,1.63923,0.02718,0,3.98e-05,3.98e-05,3.98e-05
