epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
78,1288.37,0.76479,0.2207,0.18872,0.45065,0.00889,1.69967,0.99914,1,0.995,0.89998,0.99914,1,0.995,0.98623,0.52224,0.11356,0.06769,0.1472,0.00855,0,0.0004754,0.0004754,0.0004754
79,1304.72,0.73313,0.25803,0.17483,0.45919,0.00862,1.78244,0.98745,0.99048,0.995,0.89085,0.98745,0.99048,0.995,0.98456,0.53345,0.12387,0.06568,0.16554,0.00843,0,0.0004556,0.0004556,0.0004556
80,1321.23,0.74526,0.21714,0.18101,0.42617,0.00873,1.86452,0.99055,0.99862,0.99462,0.90467,0.99055,0.99862,0.99462,0.98487,0.47698,0.11344,0.06667,0.15327,0.00777,0,0.0004358,0.0004358,0.0004358
81,1337.87,0.72858,0.20099,0.17639,0.45727,0.00875,1.75418,0.98867,1,0.99491,0.90354,0.98867,1,0.99491,0.98507,0.48162,0.11021,0.0668,0.16173,0.00803,0,0.000416,0.000416,0.000416
82,1354.38,0.7676,0.22039,0.19032,0.43759,0.00858,1.77096,0.97938,1,0.99462,0.89728,0.97938,1,0.99462,0.98475,0.52913,0.1125,0.07632,0.16396,0.0088,0,0.0003962,0.0003962,0.0003962
83,1370.8,0.70858,0.21087,0.17579,0.45567,0.00818,1.67064,0.99738,0.99048,0.995,0.91063,0.99738,0.99048,0.995,0.98635,0.46788,0.11299,0.07178,0.14456,0.0078,0,0.0003764,0.0003764,0.0003764
84,1387.37,0.72184,0.26198,0.18547,0.43195,0.00844,1.74834,0.98125,0.99704,0.99472,0.89946,0.98125,0.99704,0.99472,0.9824,0.5194,0.1143,0.06569,0.16381,0.00885,0,0.0003566,0.0003566,0.0003566
85,1403.99,0.7088,0.24192,0.16228,0.44092,0.00806,1.54936,0.98937,1,0.995,0.91097,0.98937,1,0.995,0.98552,0.47169,0.1054,0.0628,0.145,0.00766,0,0.0003368,0.0003368,0.0003368
86,1420.41,0.68479,0.20947,0.16753,0.42092,0.00772,1.39486,0.99606,1,0.995,0.91458,0.99606,1,0.995,0.98578,0.44794,0.09916,0.06049,0.14464,0.00724,0,0.000317,0.000317,0.000317
87,1436.99,0.71858,0.21765,0.17469,0.43552,0.00899,1.86414,0.9997,0.99048,0.995,0.92428,0.9997,0.99048,0.995,0.9852,0.44033,0.10121,0.06363,0.13894,0.00721,0,0.0002972,0.0002972,0.0002972
