epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
60,65.9922,1.17007,0.91625,0.48386,0.49028,0.01203,3.06745,0.99692,1,0.995,0.62692,0.97189,0.94444,0.98591,0.91812,1.41558,0.74686,0.24598,0.34029,0.01875,0,0.0008318,0.0008318,0.0008318
61,66.74,1.04341,0.69983,0.50332,0.58009,0.01097,2.99731,0.94044,1,0.98921,0.66116,0.88632,0.94444,0.96942,0.86713,1.25296,0.79339,0.23926,0.36515,0.01726,0,0.000812,0.000812,0.000812
62,67.5221,0.98576,0.64773,0.4663,0.46454,0.01105,3.13652,0.99566,1,0.995,0.72036,0.94447,0.94444,0.97147,0.7841,1.10849,1.0835,0.22225,0.27483,0.01626,0,0.0007922,0.0007922,0.0007922
63,68.2688,0.97302,0.61058,0.46598,0.48286,0.00991,3.10784,0.94431,1,0.98921,0.72626,0.89176,0.94444,0.94621,0.76347,1.06923,1.1334,0.2225,0.33972,0.01591,0,0.0007724,0.0007724,0.0007724
64,69.1881,1.0548,0.50574,0.51573,0.48893,0.01136,2.78636,0.99589,1,0.995,0.67981,0.94056,0.94444,0.94375,0.78125,1.17641,1.12779,0.23107,0.30096,0.01825,0,0.0007526,0.0007526,0.0007526
65,69.9262,0.99549,0.57479,0.52722,0.56747,0.00981,2.92712,0.99629,1,0.995,0.67923,0.94094,0.94444,0.94945,0.78251,1.21604,1.13862,0.23889,0.30593,0.01858,0,0.0007328,0.0007328,0.0007328
66,70.7003,0.92459,0.61991,0.44401,0.46781,0.00905,2.96361,0.99645,1,0.995,0.73163,0.94436,0.94444,0.95305,0.8655,1.07075,0.90678,0.24226,0.26898,0.01651,0,0.000713,0.000713,0.000713
67,71.4436,0.88333,0.55394,0.49014,0.50508,0.00889,2.55643,0.99581,1,0.995,0.77185,0.94218,0.94444,0.95383,0.89282,0.99105,0.79291,0.24387,0.25478,0.01498,0,0.0006932,0.0006932,0.0006932
68,72.2415,0.90676,0.81428,0.54821,0.47535,0.00982,2.75467,0.99617,1,0.995,0.737,0.94083,0.94444,0.95085,0.86723,1.0376,0.81195,0.23296,0.25886,0.01545,0,0.0006734,0.0006734,0.0006734
69,72.9982,1.02614,0.66231,0.46692,0.51295,0.00983,3.11076,0.99705,1,0.995,0.75192,0.94147,0.94444,0.9521,0.8486,1.01253,0.89239,0.22996,0.2567,0.01497,0,0.0006536,0.0006536,0.0006536
70,73.7596,0.99714,0.7658,0.5016,0.51584,0.01018,3.03855,0.99605,1,0.995,0.75396,0.94063,0.94444,0.95344,0.82443,0.91538,0.90365,0.22977,0.23082,0.01322,0,0.0006338,0.0006338,0.0006338
71,74.5042,0.92326,0.7454,0.50474,0.53438,0.00931,2.6358,1,0.99828,0.995,0.76983,0.94437,0.94313,0.95344,0.84185,0.92125,0.83313,0.23372,0.25083,0.0132,0,0.000614,0.000614,0.000614
72,75.3947,0.91653,0.66741,0.50743,0.49165,0.00941,2.65852,0.99597,1,0.995,0.74874,0.94274,0.94444,0.95741,0.88774,0.99225,0.75259,0.23951,0.24276,0.01378,0,0.0005942,0.0005942,0.0005942
73,76.1356,0.90288,0.56581,0.51826,0.464,0.00877,2.25688,0.99607,1,0.995,0.74728,0.94189,0.94444,0.95775,0.87487,1.02612,0.7469,0.24191,0.24755,0.01375,0,0.0005744,0.0005744,0.0005744
74,76.9138,0.91503,0.50938,0.46146,0.40801,0.00915,2.37733,0.99603,1,0.995,0.75451,0.9407,0.94444,0.95442,0.86084,1.02825,0.80165,0.2432,0.25248,0.01406,0,0.0005546,0.0005546,0.0005546
75,77.643,0.94274,0.508,0.48771,0.5448,0.01051,3.10895,0.99523,1,0.995,0.76913,0.93984,0.94444,0.94831,0.84977,1.0239,0.85012,0.24165,0.25773,0.01474,0,0.0005348,0.0005348,0.0005348
76,78.4185,0.82096,0.45516,0.50512,0.41601,0.00894,2.53542,0.99604,1,0.995,0.74864,0.94071,0.94444,0.94294,0.84255,1.0183,0.9733,0.23418,0.24555,0.01528,0,0.000515,0.000515,0.000515
77,79.1426,0.89092,0.5533,0.49354,0.415,0.00942,2.33919,0.99609,1,0.995,0.73594,0.94075,0.94444,0.94628,0.82776,1.02067,1.0339,0.2303,0.24912,0.01521,0,0.0004952,0.0004952,0.0004952
78,79.9556,0.91812,0.62275,0.5029,0.44867,0.00957,2.51561,0.99617,1,0.995,0.73929,0.94083,0.94444,0.93608,0.80132,0.98217,1.04764,0.22773,0.2456,0.01405,0,0.0004754,0.0004754,0.0004754
79,80.7262,0.96347,0.81246,0.47716,0.48631,0.00998,2.77705,0.99593,1,0.995,0.75,0.9406,0.94444,0.92963,0.82416,0.91026,0.95952,0.22902,0.23012,0.01252,0,0.0004556,0.0004556,0.0004556
80,81.512,0.85212,0.32973,0.46984,0.39679,0.00869,1.72366,0.99595,1,0.995,0.78099,0.94062,0.94444,0.92997,0.8421,0.82787,0.72749,0.23509,0.21598,0.01143,0,0.0004358,0.0004358,0.0004358
81,82.3593,0.82635,0.7196,0.50491,0.5339,0.00884,2.427,0.99109,1,0.995,0.77539,0.93603,0.94444,0.92386,0.86254,0.80827,0.64489,0.23814,0.23646,0.01101,0,0.000416,0.000416,0.000416
82,83.1353,0.80235,0.5395,0.49746,0.48425,0.00729,1.70832,0.94034,1,0.99237,0.76491,0.88769,0.94444,0.91753,0.88341,0.8697,0.60374,0.24211,0.32677,0.01134,0,0.0003962,0.0003962,0.0003962
83,83.8699,0.83621,0.45103,0.52361,0.44627,0.00848,1.97547,0.9895,1,0.995,0.76949,0.93453,0.94444,0.92204,0.88822,0.91263,0.59893,0.24706,0.28252,0.01229,0,0.0003764,0.0003764,0.0003764
84,84.6583,0.84929,0.40763,0.48887,0.44986,0.00835,1.685,0.99574,1,0.995,0.74692,0.94034,0.94444,0.92597,0.88533,0.93113,0.61626,0.24935,0.23827,0.01308,0,0.0003566,0.0003566,0.0003566
85,85.3825,0.85336,0.55395,0.49317,0.42559,0.00874,1.4008,0.99572,1,0.995,0.7701,0.9404,0.94444,0.93208,0.88431,0.93475,0.62559,0.25019,0.23434,0.01348,0,0.0003368,0.0003368,0.0003368
86,86.1873,0.78351,0.44901,0.49009,0.41675,0.00856,1.84905,0.99586,1,0.995,0.76927,0.94045,0.94444,0.94152,0.89357,0.89963,0.63599,0.24956,0.22741,0.01269,0,0.000317,0.000317,0.000317
