epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
39,43.9324,1.72176,1.91981,0.36476,2.14235,0.00908,6.19448,0.18341,0.33333,0.24715,0.09194,0.18341,0.33333,0.2546,0.17133,1.81173,1.58424,0.20113,2.59534,0.01196,0,0.0012476,0.0012476,0.0012476
40,44.7225,1.65658,1.83527,0.36755,2.22839,0.00836,6.05121,0.19648,0.51647,0.28839,0.08701,0.42914,0.22222,0.29117,0.21571,1.98647,1.57133,0.16439,2.62731,0.01395,0,0.0012278,0.0012278,0.0012278
41,45.4528,1.74551,1.8371,0.31561,2.11792,0.00826,5.47684,0.2172,0.61111,0.20819,0.08025,0.2172,0.61111,0.28062,0.19396,1.84313,1.41245,0.15422,2.64086,0.01282,0,0.001208,0.001208,0.001208
42,46.2103,1.6825,1.73926,0.28918,2.08306,0.009,6.05071,0.12889,0.5,0.12804,0.05039,0.18713,0.2815,0.16935,0.12343,1.91634,1.80758,0.14963,2.94967,0.01667,0,0.0011882,0.0011882,0.0011882
43,46.9421,1.63438,1.94283,0.37237,2.21412,0.00829,6.18953,0.12438,0.44444,0.15344,0.05412,0.27192,0.33333,0.19831,0.14342,1.97064,1.76991,0.1525,2.92926,0.01785,0,0.0011684,0.0011684,0.0011684
44,47.7183,1.77124,1.84576,0.32353,2.23754,0.00909,6.31353,0.17806,0.5,0.2045,0.05776,0.20135,0.55556,0.25317,0.18474,2.14872,1.21293,0.13772,2.65005,0.01773,0,0.0011486,0.0011486,0.0011486
45,48.45,1.6503,1.71107,0.33087,2.21965,0.00823,5.97596,0.22683,0.38889,0.20494,0.0505,0.22683,0.38889,0.25019,0.195,2.13549,1.10537,0.12699,2.71838,0.01617,0,0.0011288,0.0011288,0.0011288
46,49.2257,1.61813,1.5475,0.30827,2.08197,0.00857,5.22982,0.37097,0.38889,0.25282,0.05964,0.31376,0.44444,0.3048,0.21312,1.89497,0.91488,0.10895,2.93283,0.01389,0,0.001109,0.001109,0.001109
47,50.0808,1.74815,1.47692,0.33515,2.09035,0.00856,5.0321,0.30607,0.38889,0.28135,0.07539,0.34327,0.44444,0.30889,0.21957,1.81025,0.89053,0.12124,2.9503,0.01266,0,0.0010892,0.0010892,0.0010892
48,50.8463,1.65111,1.7175,0.28812,2.05616,0.008,5.01005,0.26077,0.5,0.27601,0.08689,0.3096,0.55556,0.37341,0.22828,1.67337,0.88134,0.12193,2.73813,0.01187,0,0.0010694,0.0010694,0.0010694
49,51.5749,1.60027,1.34646,0.30796,2.03843,0.00823,4.17367,0.22743,0.44444,0.23239,0.08826,0.2704,0.5,0.33345,0.21314,1.63827,0.90458,0.11972,2.65594,0.01218,0,0.0010496,0.0010496,0.0010496
50,52.3392,1.71929,1.44366,0.30108,2.02237,0.00902,4.54762,0.28536,0.5,0.2444,0.09593,0.28884,0.5,0.31876,0.19427,1.60896,0.84875,0.11273,2.69497,0.01163,0,0.0010298,0.0010298,0.0010298
51,53.0728,1.73201,1.56627,0.31118,2.05807,0.00861,4.8929,0.27361,0.5,0.25719,0.09683,0.25099,0.27778,0.31406,0.18987,1.71494,0.80747,0.10984,2.64839,0.01172,0,0.00101,0.00101,0.00101
