epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,52.1989,1.07754,0.67723,0.00153,0.8428,0.85409,0.90612,0.63104,1.1647,0.65403,0.00232,0.0008912,0.0008912,0.0008912
58,52.8545,1.13079,0.68056,0.00154,0.80912,0.82967,0.89262,0.60157,1.17557,0.69863,0.00223,0.0008714,0.0008714,0.0008714
59,53.497,1.14591,0.67484,0.00148,0.8216,0.82918,0.8904,0.59448,1.19223,0.72855,0.00218,0.0008516,0.0008516,0.0008516
60,54.204,1.12986,0.67689,0.00154,0.86638,0.85375,0.90182,0.6336,1.15941,0.65159,0.00222,0.0008318,0.0008318,0.0008318
61,54.8329,1.10388,0.68653,0.00152,0.85111,0.82918,0.89112,0.62933,1.1538,0.64715,0.00226,0.000812,0.000812,0.000812
62,55.4547,1.12002,0.72695,0.00163,0.84009,0.84134,0.89505,0.62957,1.16523,0.63961,0.00232,0.0007922,0.0007922,0.0007922
63,56.0938,1.12131,0.66544,0.00156,0.86324,0.85358,0.89687,0.62376,1.16775,0.63187,0.00221,0.0007724,0.0007724,0.0007724
64,56.7378,1.08116,0.6559,0.00151,0.83571,0.86121,0.89912,0.6246,1.15734,0.63575,0.00213,0.0007526,0.0007526,0.0007526
65,57.3292,1.09205,0.66303,0.00153,0.83124,0.87644,0.90276,0.64432,1.106,0.62457,0.00205,0.0007328,0.0007328,0.0007328
66,57.9569,1.14074,0.63699,0.00142,0.8422,0.85473,0.90208,0.65617,1.07515,0.65241,0.00203,0.000713,0.000713,0.000713
67,58.5667,1.12597,0.64325,0.00155,0.84606,0.86477,0.89988,0.65628,1.08522,0.65594,0.00215,0.0006932,0.0006932,0.0006932
68,59.2115,1.10514,0.68795,0.00162,0.84086,0.87544,0.90063,0.65446,1.10188,0.61169,0.00211,0.0006734,0.0006734,0.0006734
69,59.8078,1.14556,0.60896,0.00143,0.83992,0.86833,0.90557,0.65429,1.11067,0.59548,0.00225,0.0006536,0.0006536,0.0006536
70,60.4317,1.06966,0.61077,0.00156,0.83248,0.86477,0.91009,0.65103,1.1057,0.58785,0.0022,0.0006338,0.0006338,0.0006338
71,61.0413,1.08416,0.60643,0.00143,0.85274,0.84489,0.91408,0.65431,1.09836,0.5906,0.00206,0.000614,0.000614,0.000614
