epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,251.27,1.03884,0.5202,0.00249,0.87993,0.86767,0.92942,0.42085,1.86102,0.82076,0.00408,0.001571,0.001571,0.001571
67,254.735,1.06941,0.54896,0.00255,0.89382,0.83607,0.91667,0.36551,2.05686,0.84051,0.00448,0.0015644,0.0015644,0.0015644
68,258.237,1.12586,0.51958,0.00235,0.869,0.86885,0.93256,0.4582,1.81309,0.75528,0.00414,0.0015578,0.0015578,0.0015578
69,261.678,1.13162,0.55357,0.00267,0.82236,0.89383,0.92009,0.43445,1.8699,0.77973,0.00434,0.0015512,0.0015512,0.0015512
70,265.147,1.06885,0.54152,0.00265,0.84878,0.89971,0.93117,0.44636,1.75672,0.80781,0.00356,0.0015446,0.0015446,0.0015446
71,268.601,1.07861,0.57446,0.00253,0.91684,0.90375,0.958,0.45946,1.76937,0.73828,0.00359,0.001538,0.001538,0.001538
72,272.072,1.07715,0.53853,0.00255,0.87134,0.92521,0.9477,0.42467,1.82848,0.74176,0.0036,0.0015314,0.0015314,0.0015314
73,275.535,1.05812,0.5093,0.00241,0.86651,0.89617,0.9452,0.45336,1.71824,0.76291,0.00357,0.0015248,0.0015248,0.0015248
74,279.032,1.09708,0.49884,0.00263,0.85102,0.89482,0.94339,0.42876,1.76629,0.74122,0.00379,0.0015182,0.0015182,0.0015182
75,282.508,1.08547,0.53839,0.00276,0.87234,0.89253,0.9448,0.45233,1.8017,0.76563,0.00355,0.0015116,0.0015116,0.0015116
76,285.973,1.08645,0.53341,0.00251,0.85322,0.92532,0.94892,0.50859,1.54857,0.70081,0.00308,0.001505,0.001505,0.001505
77,289.428,1.07821,0.51642,0.00247,0.88326,0.88199,0.94482,0.45741,1.70743,0.7356,0.00348,0.0014984,0.0014984,0.0014984
78,292.886,1.04141,0.51949,0.00255,0.8691,0.88287,0.92421,0.39212,1.93767,0.81369,0.00391,0.0014918,0.0014918,0.0014918
79,296.369,1.07463,0.49752,0.00248,0.88205,0.88539,0.93426,0.47094,1.6319,0.74097,0.00315,0.0014852,0.0014852,0.0014852
80,299.834,1.05161,0.50122,0.00239,0.86475,0.89071,0.93705,0.43861,1.75395,0.76617,0.00367,0.0014786,0.0014786,0.0014786
81,303.259,1.08798,0.51193,0.00245,0.84078,0.90416,0.94049,0.47547,1.63117,0.73257,0.00359,0.001472,0.001472,0.001472
82,306.754,1.04492,0.49396,0.00247,0.83733,0.91257,0.94297,0.52277,1.47996,0.71099,0.00291,0.0014654,0.0014654,0.0014654
83,310.213,1.01491,0.53415,0.00269,0.82336,0.89071,0.91584,0.36437,2.01479,0.88137,0.00384,0.0014588,0.0014588,0.0014588
84,313.686,1.10596,0.51326,0.00249,0.87423,0.87614,0.94727,0.50135,1.6371,0.75224,0.00349,0.0014522,0.0014522,0.0014522
85,317.155,1.05048,0.4839,0.0025,0.87912,0.90084,0.94986,0.50664,1.61444,0.74758,0.00359,0.0014456,0.0014456,0.0014456
86,320.661,1.08691,0.49192,0.00236,0.89896,0.90164,0.95262,0.46418,1.77518,0.76552,0.00364,0.001439,0.001439,0.001439
87,324.165,1.03363,0.50899,0.00247,0.85918,0.91127,0.95524,0.47644,1.72485,0.72335,0.00356,0.0014324,0.0014324,0.0014324
88,327.675,1.07625,0.51561,0.00244,0.8736,0.90638,0.94432,0.44392,1.82433,0.77398,0.00367,0.0014258,0.0014258,0.0014258
89,331.1,1.04281,0.48158,0.00245,0.86076,0.87614,0.93072,0.43451,1.82145,0.81235,0.00392,0.0014192,0.0014192,0.0014192
